CareName,City,Area,addr,Address,機構狀態,Service,電話,傳真,單位網址,單位電子信箱,lat,lng
雲林縣私立永祥老人長期照顧中心(養護型),雲林縣,林內鄉,,雲林縣林內鄉烏塗村5鄰忠庄58號,,養護,05-5899266,05-5899756,,,23.7589634,120.5995682
雲林縣私立孝親養源老人長期照顧中心(養護型),雲林縣,虎尾鎮,,雲林縣虎尾鎮墾地里1鄰虎興西八路368號,,養護,05-5529091,05-5529091,,,23.733465,120.4097699
雲林縣私立弘愛老人長期照顧中心(養護型),雲林縣,斗六市,,雲林縣斗六市十三里10鄰十三北路101號,,養護,05-5518976,05-5518995,,,23.7515748,120.5622667
雲林縣私立聖誕老人長期照顧中心(養護型),雲林縣,古坑鄉,,雲林縣古坑鄉麻園村8鄰麻園60號,,養護,05-5823336,05-5825890,,,23.6373917,120.5388356
雲林縣私立金典老人長期照顧中心(養護型),雲林縣,二崙鄉,,雲林縣二崙鄉港後村15鄰港後路63-1號,,養護,05-5980868,05-5980878,,,23.7951363,120.3917855
雲林縣私立健群老人長期照顧中心(養護型),雲林縣,虎尾鎮,,雲林縣虎尾鎮平和里平和路35號,,養護,05-6362786,05-6362785,,,23.7045739,120.4550243
雲林縣私立幸福之家老人長期照顧中心(養護型),雲林縣,二崙鄉,,雲林縣二崙鄉崙東村6鄰裕民路22巷9號,,養護,05-5980379,05-5989359,,,23.776195,120.4129678
雲林縣私立古坑老人長期照顧中心〈長期照護型〉,雲林縣,古坑鄉,,雲林縣古坑鄉永光村光華路190號,,長照,05-5829879,05-5824073,,,23.6157009,120.5631414
雲林縣私立平安老人長期照顧中心〈長期照護型〉,雲林縣,古坑鄉,,雲林縣古坑鄉荷苞村荷苞厝109-8號,,長照,05-5266979,05-5267155,,,23.6761299,120.5744023
雲林縣私立長榮老人長期照顧中心〈長期照護型〉,雲林縣,北港鎮,,雲林縣北港鎮劉厝里民樂路427-28號,,長照,05-7832988,05-7839873,,,23.5845963,120.2905319
雲林縣私立三和老人長期照顧中心(長期照護型),雲林縣,褒忠鄉,,雲林縣褒忠鄉中民村大部路2-68號,,長照,05-6973618,05-6971918,,,23.704372,120.318776
雲林縣私立安泰老人長期照護中心,雲林縣,北港鎮,,雲林縣北港鎮劉厝里民樂路427-22號,,長照,05-7832588,05-7839873,,,23.5845963,120.2905319
雲林縣私立萊園長期照護中心,雲林縣,元長鄉,,雲林縣元長鄉元南路6-20號,,長照,05-7888955,05-7889727,,,23.6448209,120.3206117
雲林縣私立雙福佛門老人長期照顧中心(長期照護型),雲林縣,斗南鎮,,雲林縣斗南鎮小東里17鄰大葉路152巷5弄28號,,長照,05-5977899,05-5968557,,,23.6937341,120.478247
