CareName,City,Area,addr,Address,機構狀態,Service,電話,傳真,單位網址,單位電子信箱,lat,lng
財團法人伊甸社會福利基金會(馨梅園老人日間照顧中心),嘉義縣,梅山鄉,成功街63號,嘉義縣梅山鄉成功街63號,2,"日間照顧服務,居家服務",05-262595705-2625961,無,無,eden6753@eden.org.tw,23.5867326,120.5539286
嘉義縣私立梅山護理之家,嘉義縣,梅山鄉,中山路531號,嘉義縣梅山鄉中山路531號,2,一般護理之家,05-2620602,無,https://www.facebook.com/嘉義縣私立梅山護理之家-242582425770961/?ref=br_rs,chms1011002@yahoo.com,23.586854,120.550768
嘉義縣梅山鄉衛生所附設居家護理所,嘉義縣,梅山鄉,華山路18號,嘉義縣梅山鄉華山路18號,2,居家護理,05-2621049,05-2622841,http://clinic.cyshb.gov.tw/h4015/portal/PortalHome.asp,4015f@cyshb.gov.tw,23.586551,120.555596
財團法人嘉義縣私立天主教安道社會福利慈善事業基金會(鹿草聖家日間照顧中心),嘉義縣,鹿草鄉,55-8號,嘉義縣鹿草鄉55-8號,2,日間照顧服務,05-3750194,05-3750194,無,su1795@ms14.hinet.net,23.4149666,120.3089143
鹿草鄉衛生所附設居家護理所,嘉義縣,鹿草鄉,287-3號,嘉義縣鹿草鄉西井村287-3號,2,居家護理,05-3752080,05-3750203,http://clinic.cyshb.gov.tw/h4010/portal/PortalHome.asp,a3080@mail.cyshb.gov.tw,23.4112809,120.3081884
嘉義縣番路鄉衛生所附設居家護理所,嘉義縣,番路鄉,2鄰60號,嘉義縣番路鄉2鄰60號,2,居家護理,05-2591148,05-2592840,http://clinic.cyshb.gov.tw/h4016/pub/News.asp,4016h@cyshb.gov.tw,23.463354,120.554014
財團法人雙福社會福利慈善事業基金會(日安日間照顧中心),嘉義縣,新港鄉,6鄰三間厝231號,嘉義縣新港鄉6鄰三間厝231號,2,日間照顧服務,05-3773841,無,無,cycht0224@gmail.com,23.5210935,120.3863868
嘉義縣新港鄉衛生所附設居家護理所,嘉義縣,新港鄉,中山路167號,嘉義縣新港鄉宮前村中山路167號,2,居家護理,05-3742025,05-3747105,http://clinic.cyshb.gov.tw/h4006/portal/PortalHome.asp,4006c@cyshb.gov.tw,23.5524037,120.3475653
溪口鄉老人日間照顧中心 ,嘉義縣,溪口鄉,1鄰柴林腳61號之16,嘉義縣溪口鄉1鄰柴林腳61號之16,2,日間照顧服務,05-2691234,,,,23.606515,120.369708
佳霖護理之家,嘉義縣,溪口鄉,疊溪村下員林一二八之一號,嘉義縣溪口鄉疊溪村下員林一二八之一號,2,一般護理之家,05-2656631,無,http://blog.yam.com/ChiaLinNursingHome,chialin03@yahoo.com.tw,23.5914345,120.4424915
嘉義縣溪口鄉衛生所附設居家護理所,嘉義縣,溪口鄉,中山路1號,嘉義縣溪口鄉中山路1號,2,居家護理,05-2691046,05-2695812,http://clinic.cyshb.gov.tw/h4005/pub/News.asp,4005b@cyshb.gov.tw,23.6064056,120.3948197
嘉義縣義竹鄉衛生所附設居家護理所,嘉義縣,義竹鄉,422-1號,嘉義縣義竹鄉仁里村422-1號,2,居家護理,05-3412032,05-3417468,http://clinic.cyshb.gov.tw/h4009/portal/PortalHome.asp,4009b@cyshb.gov.tw,23.3373247,120.2431989
嘉義縣太保市民眾服務社,嘉義縣,,,嘉義縣 太保市 太保里 53-1號,,,05-3711034,,,,23.4978889,120.3850689
財團法人雙福基金會-崙頂站,嘉義縣,,,嘉義縣 太保市 崙頂里 4鄰21號,,,05-2212120,,,,23.4543834,120.3323959
財團法人雙福社會福利慈善事業基金會(太保教會),嘉義縣,,,嘉義縣 太保市 北新里 中山一路228巷19弄12號,,,05-2384422,,,,23.5001124,120.3816375
嘉義縣朴子市新寮社區發展協會,嘉義縣,,,嘉義縣 朴子市 新寮里 67-6號,,,913720100,,,,23.4404718,120.2459929
社團法人聽語多重障礙福利協進會,嘉義縣,,,嘉義縣 朴子市 松華里牛挑灣341-2號,,,05-3623689,,,,23.4102955,120.2520389
中華聖母社會福利慈善事業基金會-龍江站,嘉義縣,,,嘉義縣 布袋鎮 龍江里 300之1號,,,05-2780040*3215,,,,23.3855761,120.1688606
嘉義縣布袋鎮東港社區發展協會,嘉義縣,,,嘉義縣 布袋鎮 東港里 埔仔厝34號,,,920777568,,,,23.3738347,120.1875418
嘉義縣大林鎮平林社區發展協會,嘉義縣,,,嘉義縣 大林鎮 平林里 新興街112號,,,05-2649701,,,,23.6004591,120.4585854
嘉義縣大林鎮沙崙社區發展協會,嘉義縣,,,嘉義縣 大林鎮 中坑里 沙崙176號,,,05-2721184,,,,23.586841,120.493987
嘉義縣大林鎮上林社區發展協會,嘉義縣,,,嘉義縣 大林鎮 上林里 44號,,,無,,,,23.583734,120.470082
嘉義縣大林鎮排路社區發展協會,嘉義縣,,,嘉義縣 大林鎮 排路里 167號,,,05-2697509,,,,23.6129683,120.4242298
嘉義縣大林鎮明和社區發展協會,嘉義縣,,,嘉義縣 大林鎮 明和里 甘蔗崙72號,,,05-2651602,,,,23.6093752,120.4463637
嘉義縣大林鎮明華社區發展協會,嘉義縣,,,嘉義縣 大林鎮 明華里 25號,,,05-2651347,,,,23.6020388,120.4524151
嘉義縣大林鎮內林社區發展協會,嘉義縣,,,大林鎮 內林里 1鄰內林61號,,,05-2953702 ,,,,23.6097842,120.4890434
財團法人弘道老人福利基金會,嘉義縣,,,嘉義縣 大林鎮 三和里 水碓44號,,,05-2858085,,,,23.6051799,120.4567326
嘉義縣民雄鄉三興社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 三興村37號,,,05-2720351,,,,23.5554939,120.4669772
嘉義縣民雄鄉中央社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 中央村 田中央77號,,,05-2060370,,,,23.532829,120.402081
嘉義縣民雄鄉中樂社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 中樂村 復興路88巷民北段441號,,,952230666,,,,23.5580129,120.4283196
嘉義縣民雄鄉文隆社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 文隆村47-7號,,,05-2264893,,,,23.537493,120.420082
嘉義縣民雄鄉福興社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 福興村60號,,,05-2133356,,,,23.5105432,120.4263302
嘉義縣民雄鄉菁埔社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 菁埔村137號,,,932019676,,,,23.5568597,120.3987462
嘉義縣民雄鄉豐收社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 豊收村 好收148-1號,,,932711512,,,,23.5613634,120.4504385
嘉義縣民雄鄉大崎社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 大崎村大崎腳17-5號,,,928357326,,,,23.525516,120.476897
嘉義縣民雄鄉寮頂社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 寮頂村1鄰65-2號,,,05-2063933,,,,23.5333646,120.4368821
嘉義縣民雄鄉東湖社區發展協會,嘉義縣,,,嘉義縣 民雄鄉 東湖村174號,,,05-2264465,,,,23.55128,120.440681
嘉義縣溪口鄉柴林社區發展協會,嘉義縣,,,嘉義縣 溪口鄉 柴林村柴林腳25-1號,,,05-2695043,,,,23.606515,120.369708
嘉義縣新港鄉中庄社區發展協會,嘉義縣,,,嘉義縣 新港鄉  中庄村30-1號,,,05-3747385,,,,23.568448,120.35003
嘉義縣新港鄉北崙村村辦公處,嘉義縣,,,嘉義縣 新港鄉南崙村2鄰92號,,,05-3760635,,,,23.585385,120.343415
嘉義縣新港鄉馨園社區發展協會,嘉義縣,,,嘉義縣 新港鄉 宮前村 公園路28-1號,,,05-3749386,,,,23.553244,120.345747
嘉義縣頂菜園發展協會,嘉義縣,,,嘉義縣 新港鄉 共和村頂菜園12號,,,05-7811995,,,,23.56261,120.323767
嘉義縣新港鄉菜公社區發展協會,嘉義縣,,,嘉義縣 新港鄉  菜公村咬仔竹33號,,,05-3772282,,,,23.5329537,120.3596878
社團法人嘉義縣扶緣服務協會,嘉義縣,,,嘉義縣 新港鄉 宮前村公園路28-1號4樓,,,05-3740122,,,,23.553244,120.345747
財團法人真耶穌教會台灣總會新港教會,嘉義縣,,,嘉義縣 新港鄉 中正路221號,,,05-3742440,,,,23.5623289,120.3476605
財團法人雙福基金會-溪北站,嘉義縣,,,嘉義縣 新港鄉  溪北村9鄰65號,,,05-2212120,,,,23.5105982,120.3365175
嘉義縣六腳鄉塗師社區發展協會,嘉義縣,,,嘉義縣 六腳鄉  塗師村36-2號,,,05-3804476,,,,23.506729,120.283915
嘉義縣六腳鄉雙涵社區發展協會,嘉義縣,,,嘉義縣 六腳鄉 雙涵村 42-1號,,,05-3801558,,,,23.514773,120.30017
嘉義縣鄉村永續發展協會,嘉義縣,,,嘉義縣 東石鄉 塭仔村63號,,,932890386,,,,23.446321,120.193385
嘉義縣東石鄉洲仔社區發展協會,嘉義縣,,,嘉義縣 東石鄉 洲仔村35號,,,917164919,,,,23.451541,120.194494
嘉義縣義竹鄉北華社區發展協會,嘉義縣,,,嘉義縣 義竹鄉 北華村48-1號,,,05-3426359,,,,23.3420373,120.1931488
嘉義縣岸腳社區發展協會,嘉義縣,,,嘉義縣 義竹鄉 岸腳村7鄰50號,,,05-3417143,,,,23.3578748,120.2571704
中華聖母社會福利善事業基金會-後堀站,嘉義縣,,,嘉義縣 鹿草鄉 後堀村65之2號,,,05-2780040*3215,,,,23.40819,120.33255
嘉義縣鹿草鄉碧潭社區發展協會,嘉義縣,,,嘉義縣 鹿草鄉 碧潭村 18-4號,,,05-3651608,,,,23.384264,120.297014
嘉義縣鹿草鄉三角社區發展協會,嘉義縣,,,嘉義縣 鹿草鄉 三角村109之1號,,,05-3752250,,,,23.4026098,120.3388591
嘉義縣鹿草鄉松竹社區發展協會,嘉義縣,,,嘉義縣 鹿草鄉 松竹村8鄰69號,,,05-3650878,,,,23.3932479,120.2905522
嘉義縣鹿草鄉重寮社區發展協會,嘉義縣,,,嘉義縣 鹿草鄉 重寮村15鄰99-1號,,,05-3750616,,,,23.3948,120.31614
水上鄉農會,嘉義縣,,,嘉義縣 水上鄉 中庄村中庄11號,,,05-2893182,,,,23.4241824,120.4424128
嘉義縣中埔鄉和興社區發展協會,嘉義縣,,,嘉義縣 中埔鄉  和興村中華路305巷246號,,,05-2936726,,,,23.4393476,120.4520375
社團法人嘉義縣仁里慈濟會(社口站),嘉義縣,,,嘉義縣 中埔鄉 社口村 羨仔林路43-20號,,,05-2533441,,,,23.44451,120.542267
社團法人嘉義縣仁里慈濟會(義仁站),嘉義縣,,,嘉義縣 中埔鄉 社口村 檨仔林路43-20號,,,05-2533441,,,,23.44451,120.542267
財團法人嘉義縣私立瑞泰社會福利基金會,嘉義縣,,,嘉義縣 中埔鄉  同仁村柚仔宅78-1號,,,05-2534989,,,,23.4196477,120.4976768
嘉義縣竹崎鄉昇平社區發展協會,嘉義縣,,,嘉義縣 竹崎鄉 昇平村頂埔6鄰96號,,,934005023,,,,23.472885,120.567157
嘉義縣竹崎鄉鹿滿社區發展協會,嘉義縣,,,嘉義縣 竹崎鄉 鹿滿村 ?萁埔95-1號,,,05-2616637,,,,23.5030117,120.5354965
嘉義縣頂笨仔文化協會,嘉義縣,,,嘉義縣 竹崎鄉 光華村 2鄰22號-1,,,988234929,,,,23.4801254,120.67369
社團法人嘉義縣精神康扶之友協會,嘉義縣,,,嘉義縣 竹崎鄉 灣橋村灣橋172號,,,05-2790533,,,,23.491113,120.505287
竹崎鄉復金社區發展協會,嘉義縣,,,嘉義縣 竹崎鄉  復金村覆鼎金59號,,,937557999,,,,23.5283539,120.5694503
嘉義縣梅山鄉梅北社區發展協會,嘉義縣,,,嘉義縣 梅山鄉 梅北村華山路160號,,,05-2626982,,,,23.5900032,120.5550848
嘉義縣梅山鄉太平社區發展協會,嘉義縣,,,嘉義縣 梅山鄉  太平村43號,,,937657699,,,,23.560682,120.603052
中華聖母社會福利慈善事業基金會-菜公站,嘉義縣,,,嘉義縣 番路鄉 下坑村 菜公店101號,,,05-2780040*3215,,,,23.4645028,120.554199
財團法人嘉義縣私立天主教敏道社會福利慈善事業基金會,嘉義縣,,,嘉義縣 大埔鄉 和平村 雙溪28號,,,05-2301988,,,,23.3015998,120.5962198
中華聖母社會福利慈善事業基金會-達邦站,嘉義縣,,,嘉義縣 阿里山鄉 達邦村 1鄰8號,,,05-2780040*3215,,,,23.4539868,120.748848
嘉義縣中埔鄉富收社區發展協會,嘉義縣,,,嘉義縣 中埔鄉 富收村 9鄰庄內路8之1號,,,05-2391113,,,,23.4392864,120.4886085
嘉義縣竹崎鄉義和社區發展協會,嘉義縣,,,嘉義縣 竹崎鄉 義和村 2鄰山子門23號,,,05-2111225,,,,23.5079254,120.4989863
財團法人華山社會福利慈善事業基金會(中埔站),嘉義縣,,,嘉義縣 中埔鄉 中埔村10鄰80-43號,,,05-2539431,,,,23.425139,120.522952
財團法人華山社會福利慈善事業基金會(義竹站),嘉義縣,,,嘉義縣 義竹鄉 六桂村 義竹172號,,,05-3415873,,,,23.3370647,120.2450274
嘉義縣東石鄉掌潭社區發展協會,嘉義縣,,,嘉義縣 東石鄉 掌潭村16號,,,無,,,,23.4187786,120.1652732
嘉義縣以斯帖全人關懷協會,嘉義縣,,,嘉義縣 太保市 崙頂里1鄰5-16號,,,05-3703662,,,,23.4548825,120.2974979
財團法人柴林腳教育基金會,嘉義縣,,,嘉義縣溪口鄉柴林村柴林腳13號,,,05-2657777,,,,23.606515,120.369708
財團法人雙福社會福利慈善事業基金會(新美據點),嘉義縣,,,嘉義縣阿里山鄉新美村4鄰65號,,,05-2712845,,,,23.3799323,120.6707597
嘉義縣朴子市大葛里社區發展協會,嘉義縣,,,嘉義縣朴子市大葛里12鄰50-3號,,,912185243,,,,23.455499,120.277971
